web_name,name,element_type,now_cost,form,expected_goal_involvements,next_3_fdr,ep_next,buy_rating
Bassey,Fulham,2,4.4,5.5,1.9,3.33,3.8,3.29
Reijnders,Man City,3,5.0,1.0,6.23,3.0,1.0,3.29
Hutchinson,Nott'm Forest,3,5.4,2.0,4.88,2.33,2.0,3.29
Iwobi,Fulham,3,6.4,2.0,5.37,3.33,1.5,3.28
Van den Berg,Brentford,2,4.6,3.5,3.68,3.33,3.5,3.21
Xavi,Spurs,3,6.5,1.0,5.85,2.67,1.0,3.21
J.Murphy,Newcastle,3,5.9,2.0,5.32,3.67,2.0,3.19
Botman,Newcastle,2,4.9,5.5,1.78,3.67,1.4,3.18
Buendía,Aston Villa,3,5.3,2.0,4.77,2.67,2.0,3.17
Cash,Aston Villa,2,4.7,3.0,3.77,2.67,3.0,3.17
J.Timber,Arsenal,2,6.3,1.0,6.24,3.67,1.5,3.16
Sels,Nott'm Forest,1,4.6,6.5,0.06,2.33,6.5,3.16
Rodrigo,Man City,3,6.3,4.0,2.89,3.0,4.0,3.16
Damsgaard,Brentford,3,5.6,1.0,5.98,3.33,1.0,3.13
Wieffer,Brighton,3,4.9,3.0,3.46,2.33,3.5,3.12
Mykolenko,Everton,2,4.9,4.0,2.58,2.67,4.0,3.1
Foster,Burnley,4,4.9,3.5,3.4,3.33,3.0,3.09
Raya,Arsenal,1,6.0,7.0,0.06,3.67,8.0,3.09
Bogle,Leeds,2,4.4,3.0,3.7,3.0,2.5,3.08
Sangaré,Nott'm Forest,3,4.9,3.5,2.82,2.33,3.5,3.06
Summerville,West Ham,3,5.5,0.0,6.47,2.67,0.4,3.05
Armstrong,Wolves,4,5.2,5.0,1.27,2.33,4.5,3.04
Tarkowski,Everton,2,5.7,3.0,3.4,2.67,3.0,3.03
Mitoma,Brighton,3,6.1,0.5,5.68,2.33,1.0,3.01
Diarra,Sunderland,3,5.3,3.5,2.82,2.67,3.5,2.99
Virgil,Liverpool,2,6.3,2.5,3.84,3.0,3.0,2.94
O'Brien,Everton,2,4.9,4.5,1.67,2.67,4.5,2.93
Gravenberch,Liverpool,3,5.5,2.5,3.67,3.0,3.0,2.87
Darlow,Leeds,1,3.9,6.0,0.04,3.0,5.5,2.82
Hall,Newcastle,2,5.4,3.0,3.28,3.67,3.0,2.78
Henderson,Brentford,3,5.0,3.5,2.58,3.33,3.5,2.77
Marmoush,Man City,3,8.3,3.0,2.9,3.0,3.0,2.76
Cucurella,Chelsea,2,6.0,1.5,4.7,3.67,1.5,2.75
Strand Larsen,Crystal Palace,4,6.0,1.0,4.85,3.0,1.0,2.74
Berge,Fulham,3,4.9,3.5,2.46,3.33,3.0,2.72
Collins,Brentford,2,4.9,3.0,2.93,3.33,3.0,2.71
Chukwueze,Fulham,3,5.3,1.0,4.93,3.33,0.5,2.71
Madueke,Arsenal,3,6.8,3.0,3.09,3.67,4.0,2.7
Xhaka,Sunderland,3,5.1,2.5,3.08,2.67,2.5,2.7
P.M.Sarr,Spurs,3,4.5,3.0,2.57,2.67,2.2,2.69
Okafor,Leeds,3,5.5,0.5,5.2,3.0,0.0,2.68
Onana,Aston Villa,3,4.8,3.5,2.02,2.67,3.5,2.67
Kolo Muani,Spurs,4,6.9,2.5,3.02,2.67,2.5,2.67
Shaw,Man Utd,2,4.5,3.5,2.01,2.67,4.0,2.67
Kerkez,Liverpool,2,5.6,3.5,2.12,3.0,4.0,2.65
Dalot,Man Utd,2,4.6,1.5,3.93,2.67,2.0,2.64
Sancho,Aston Villa,3,5.8,3.0,2.43,2.67,0.8,2.64
Estève,Burnley,2,3.9,4.5,1.25,3.33,4.0,2.63
Grealish,Everton,3,6.3,0.0,5.41,2.67,0.0,2.63
Tel,Spurs,3,6.2,2.0,3.41,2.67,1.5,2.63
Smith Rowe,Fulham,3,5.6,0.5,5.21,3.33,0.0,2.62
Konsa,Aston Villa,2,4.4,3.5,1.83,2.67,3.5,2.6
Adli,Bournemouth,3,5.4,1.5,4.14,3.33,0.5,2.59
Pedro Porro,Spurs,2,5.1,1.5,3.76,2.67,1.5,2.57
Hincapie,Arsenal,2,5.1,4.0,1.72,3.67,2.5,2.55
Verbruggen,Brighton,1,4.5,5.0,0.05,2.33,5.5,2.55
Muñoz,Crystal Palace,2,5.8,0.0,5.32,3.0,0.0,2.53
Guessand,Crystal Palace,3,6.2,3.0,2.31,3.0,3.0,2.52
Georginio,Brighton,3,5.6,0.5,4.46,2.33,1.0,2.52
Hartman,Burnley,2,4.0,3.5,1.95,3.33,3.0,2.51
Spence,Spurs,2,4.2,2.5,2.6,2.67,2.5,2.51
Tete,Fulham,2,4.5,3.0,2.38,3.33,1.9,2.49
Ballard,Sunderland,2,4.7,2.0,3.0,2.67,1.5,2.47
M.Fernandes,West Ham,3,5.5,1.5,3.49,2.67,2.0,2.46
Estêvão,Chelsea,3,6.4,0.5,4.95,3.67,0.5,2.45
Hume,Sunderland,2,4.5,1.5,3.43,2.67,1.5,2.44
McNeil,Everton,3,5.5,3.0,1.91,2.67,3.0,2.43
Ayari,Brighton,3,4.8,1.0,3.73,2.33,1.5,2.43
